iter	Passed	Remaining
871	7428	1090
872	7434	1081
873	7447	1073
874	7462	1066
875	7466	1056
876	7477	1048
877	7482	1039
878	7495	1031
879	7499	1022
880	7511	1014
881	7515	1005
882	7526	997
883	7530	988
884	7539	979
885	7545	970
886	7549	961
887	7559	953
888	7563	944
889	7571	935
890	7577	927
891	7582	918
892	7593	909
893	7596	900
894	7607	892
895	7612	883
896	7621	875
897	7626	866
898	7631	857
899	7641	849
900	7645	840
901	7656	831
902	7661	822
903	7674	814
904	7678	806
905	7689	797
906	7694	788
907	7703	780
908	7708	771
909	7713	762
910	7723	754
911	7727	745
912	7739	737
913	7742	728
914	7749	719
915	7756	711
916	7761	702
917	7772	694
918	7776	685
919	7788	677
920	7792	668
921	7800	659
922	7806	651
923	7810	642
924	7821	634
925	7825	625
926	7836	617
927	7840	608
928	7850	599
929	7855	591
930	7860	582
931	7870	574
932	7875	565
933	7884	557
934	7889	548
935	7894	539
936	7903	531
937	7907	522
938	7918	514
939	7923	505
940	7932	497
941	7937	488
942	7942	480
943	7952	471
944	7957	463
945	7969	454
946	7974	446
947	7986	438
948	7990	429
949	8001	421
950	8006	412
951	8017	404
952	8022	395
953	8032	387
954	8036	378
955	8048	370
956	8054	361
957	8069	353
958	8074	345
959	8085	336
960	8090	328
961	8100	319
962	8104	311
963	8115	303
964	8119	294
965	8130	286
966	8135	277
967	8143	269
968	8149	260
969	8153	252
970	8166	243
971	8171	235
972	8181	227
973	8185	218
974	8193	210
975	8199	201
976	8215	193
977	8231	185
978	8244	176
979	8248	168
980	8261	160
981	8273	151
982	8281	143
983	8293	134
984	8297	126
985	8310	117
986	8315	109
987	8326	101
988	8331	92
989	8342	84
990	8346	75
991	8357	67
992	8361	58
993	8367	50
994	8376	42
995	8380	33
996	8391	25
997	8396	16
998	8410	8
999	8416	0
